n,importance,err
1.000000000000000,39.310002326965332,3.446579289122452
527.263157894736878,1193.021130561828613,73.833306060948999
1053.526315789473756,3429.182791709899902,2930.852222479439206
1579.789473684210634,5904.193091392517090,4637.210945543708476
2106.052631578947512,4742.716693878173828,847.797473045121933
2632.315789473684163,5754.451107978820801,200.287810776258169
3158.578947368421268,6854.546523094177246,241.408651403564249
3684.842105263158373,8312.222504615783691,348.523872512493995
4211.105263157895024,9236.025714874267578,296.921642301376664
4737.368421052631675,14097.783946990966797,5841.293156760923921
5263.631578947368325,12135.092020034790039,1038.288272193633702
5789.894736842105885,16936.736273765563965,8275.362165972312141
6316.157894736842536,16862.499451637268066,4114.619434522831398
6842.421052631579187,19338.697409629821777,6284.524665152814123
7368.684210526316747,17186.138105392456055,412.898357922530010
7894.947368421053397,19946.813201904296875,1814.473348354650398
8421.210526315790048,22131.535005569458008,4383.068503145255818
8947.473684210526699,19922.136807441711426,5670.537064316430587
9473.736842105263349,24869.296431541442871,3961.441409378679509
10000.000000000000000,31014.140701293945312,13183.113193556693659
