n,mh,err
1.000000000000000,6.010293960571289,3.349380555715079
527.263157894736878,45.173358917236328,9.497861442253958
1053.526315789473756,78.278636932373047,6.817609565675848
1579.789473684210634,112.731337547302246,14.020128838036564
2106.052631578947512,145.045351982116699,9.138323561006599
2632.315789473684163,185.130786895751953,29.303218764038334
3158.578947368421268,214.255070686340332,18.796946458883092
3684.842105263158373,251.123404502868652,24.685056114601480
4211.105263157895024,284.898710250854492,15.152407399159909
4737.368421052631675,340.729427337646484,59.624151457033634
5263.631578947368325,357.315897941589355,12.007799445260119
5789.894736842105885,393.845009803771973,29.187361709192672
6316.157894736842536,443.751502037048340,35.990582393147413
6842.421052631579187,573.606967926025391,111.164286464790791
7368.684210526316747,554.964804649353027,75.030156958029991
7894.947368421053397,574.081897735595703,60.208318962073129
8421.210526315790048,666.230058670043945,263.455986515550308
8947.473684210526699,644.895696640014648,26.421385157199953
9473.736842105263349,672.986507415771484,101.520623422107562
10000.000000000000000,701.011991500854492,37.710642073177425
