n,pimh,err
1.000000000000000,369.737434387207031,75.181272594849702
527.263157894736878,2604.542207717895508,393.972805514904394
1053.526315789473756,6023.158836364746094,2225.318760083499456
1579.789473684210634,7524.697184562683105,2133.504509116172358
2106.052631578947512,14767.913627624511719,9823.775047204919247
2632.315789473684163,10962.908434867858887,3439.542535688062799
3158.578947368421268,16424.270367622375488,6205.104215412848134
3684.842105263158373,19455.374097824096680,10376.064313634333303
4211.105263157895024,23967.165899276733398,13564.267909443011376
4737.368421052631675,24872.299218177795410,3117.656003690316538
5263.631578947368325,24233.404350280761719,8350.710131831410763
5789.894736842105885,29089.234495162963867,9401.510308049595551
6316.157894736842536,27968.814969062805176,4858.755411852743237
6842.421052631579187,32491.655349731445312,6820.647929506640139
7368.684210526316747,43684.293913841247559,10578.509182925350615
7894.947368421053397,45263.049101829528809,15988.898972976976438
8421.210526315790048,42188.621377944946289,22349.402891114878003
8947.473684210526699,43156.190395355224609,11608.330055697326316
9473.736842105263349,51580.555510520935059,9754.196799000952524
10000.000000000000000,50874.070715904235840,11587.484656452465060
