n,rejection
1.000000000000000,122.565984725952148
527.263157894736878,294.588088989257812
1053.526315789473756,619.349002838134766
1579.789473684210634,1003.400802612304688
2106.052631578947512,1322.254896163940430
2632.315789473684163,1371.920108795166016
3158.578947368421268,1648.986101150512695
3684.842105263158373,2052.299022674560547
4211.105263157895024,2416.040897369384766
4737.368421052631675,2717.435836791992188
5263.631578947368325,4015.330076217651367
5789.894736842105885,3687.958002090454102
6316.157894736842536,4306.380033493041992
6842.421052631579187,3945.432901382446289
7368.684210526316747,3429.780960083007812
7894.947368421053397,5385.038852691650391
8421.210526315790048,5080.800056457519531
8947.473684210526699,6042.932033538818359
9473.736842105263349,12013.220071792602539
10000.000000000000000,8493.777036666870117
