n,rejection,err
1.000000000000000,92.189097404479980,25.486693133953040
527.263157894736878,331.958723068237305,69.517321003488888
1053.526315789473756,625.257372856140137,106.269299097920921
1579.789473684210634,909.076881408691406,146.484256807662035
2106.052631578947512,1158.807730674743652,243.790877631617604
2632.315789473684163,1571.206974983215332,274.348223231683789
3158.578947368421268,1849.255776405334473,430.258302340468106
3684.842105263158373,2228.492212295532227,332.796048025730499
4211.105263157895024,2519.370961189270020,400.524569842416042
4737.368421052631675,2680.568790435791016,370.910494502141376
5263.631578947368325,3146.212100982666016,443.324001951053845
5789.894736842105885,3543.152260780334473,812.725921245286031
6316.157894736842536,4201.911878585815430,691.761375403730199
6842.421052631579187,4399.748206138610840,1282.307948165749394
7368.684210526316747,4417.662835121154785,599.965929673975552
7894.947368421053397,4852.689528465270996,1056.329141856507476
8421.210526315790048,5778.715896606445312,4033.774982233951960
8947.473684210526699,5647.754263877868652,1915.592993295643510
9473.736842105263349,6040.690875053405762,1112.218590140930473
10000.000000000000000,6077.919983863830566,1458.616764615175498
