n,rejection,importance,mh,smc
1.000000000000000,128.247976303100586,0.712871551513672,0.765800476074219,3.058910369873047
527.263157894736878,286.658048629760742,24.394035339355469,16.913890838623047,14.580011367797852
1053.526315789473756,518.730878829956055,55.902957916259766,31.423091888427734,28.613090515136719
1579.789473684210634,909.883975982666016,79.425811767578125,39.823055267333984,41.623115539550781
2106.052631578947512,1177.887916564941406,94.082117080688477,49.790859222412109,50.703048706054688
2632.315789473684163,1480.808019638061523,121.237993240356445,66.355943679809570,63.316822052001953
3158.578947368421268,1798.949003219604492,133.803129196166992,77.536106109619141,81.937074661254883
3684.842105263158373,2455.758094787597656,165.751934051513672,91.668844223022461,87.013959884643555
4211.105263157895024,2296.856164932250977,173.579931259155273,101.154088973999023,123.136997222900391
4737.368421052631675,3029.879093170166016,208.940982818603516,116.137027740478516,122.638940811157227
5263.631578947368325,3070.059061050415039,228.607892990112305,124.815940856933594,120.635032653808594
5789.894736842105885,3094.964981079101562,249.040842056274414,134.226799011230469,135.168075561523438
6316.157894736842536,4149.451017379760742,280.739068984985352,162.781953811645508,147.836923599243164
6842.421052631579187,4906.167984008789062,295.730113983154297,168.285846710205078,163.405895233154297
7368.684210526316747,3681.583166122436523,400.155067443847656,168.196916580200195,174.276113510131836
7894.947368421053397,3955.777883529663086,402.825117111206055,186.118125915527344,200.331211090087891
8421.210526315790048,5229.949951171875000,376.623868942260742,197.277069091796875,198.942899703979492
8947.473684210526699,4704.364061355590820,417.416095733642578,262.647867202758789,204.613924026489258
9473.736842105263349,6699.867963790893555,422.115802764892578,259.495973587036133,231.504201889038086
10000.000000000000000,5682.323932647705078,448.405027389526367,231.910943984985352,223.052024841308594
