n,kl,err
100,0.005463,0.012313
107,0.004936,0.010604
114,0.004489,0.009107
123,0.004189,0.008012
132,0.003831,0.007160
141,0.003486,0.006072
151,0.003211,0.005439
162,0.002932,0.005059
174,0.002799,0.004647
187,0.002681,0.004370
200,0.002550,0.004207
215,0.002425,0.004120
231,0.002291,0.004062
247,0.002121,0.003899
265,0.001970,0.003725
284,0.001866,0.003616
305,0.001716,0.003469
327,0.001565,0.003314
351,0.001400,0.003140
376,0.001223,0.002960
403,0.001058,0.002723
432,0.000914,0.002461
464,0.000806,0.002224
497,0.000715,0.001997
533,0.000640,0.001749
572,0.000584,0.001539
613,0.000526,0.001308
657,0.000460,0.001052
705,0.000411,0.000892
756,0.000354,0.000744
811,0.000323,0.000662
869,0.000291,0.000615
932,0.000279,0.000597
1000,0.000259,0.000548
1072,0.000238,0.000522
1149,0.000210,0.000469
1232,0.000200,0.000445
1321,0.000202,0.000445
1417,0.000195,0.000433
1519,0.000196,0.000437
1629,0.000186,0.000419
1747,0.000174,0.000388
1873,0.000159,0.000365
2009,0.000152,0.000355
2154,0.000143,0.000334
2310,0.000135,0.000331
2477,0.000125,0.000319
2656,0.000115,0.000306
2848,0.000109,0.000301
3053,0.000103,0.000300
3274,0.000099,0.000301
3511,0.000098,0.000305
3764,0.000095,0.000311
4037,0.000088,0.000308
4328,0.000085,0.000311
4641,0.000084,0.000306
4977,0.000083,0.000304
5336,0.000083,0.000306
5722,0.000081,0.000306
6135,0.000078,0.000293
6579,0.000077,0.000288
7054,0.000075,0.000276
7564,0.000071,0.000261
8111,0.000069,0.000247
8697,0.000067,0.000234
9326,0.000063,0.000216
10000,0.000059,0.000201
10722,0.000053,0.000185
11497,0.000049,0.000171
12328,0.000046,0.000159
13219,0.000043,0.000144
14174,0.000040,0.000135
15199,0.000038,0.000124
16297,0.000036,0.000117
17475,0.000034,0.000113
18738,0.000034,0.000114
20092,0.000035,0.000113
21544,0.000036,0.000114
23101,0.000039,0.000116
24770,0.000041,0.000117
26560,0.000043,0.000118
28480,0.000045,0.000117
30538,0.000046,0.000114
32745,0.000046,0.000108
35111,0.000046,0.000102
37649,0.000046,0.000094
40370,0.000045,0.000089
43287,0.000045,0.000083
46415,0.000043,0.000075
49770,0.000042,0.000068
53366,0.000040,0.000062
